,Name,ID,URL
0,Sea Lions BBQ & Grills,18767897,https://www.zomato.com/bangalore/sea-lions-bbq-grills-jayanagar-bangalore?zrp_bid=250574&zrp_pid=14&zrp_cid=334571&context=eyJjIjp7ImUiOlsxODc2Nzg5NywiMTg1Mzc1ODUiLCIxODYyMjI2OCIsIjE4MjAyOTkxIiwiNTU5MDgiLCI1MjQ1OSIsNTAzMDYsIjE4MTYwMDkzIiwiMTgzOTEwMjAiLCIxODM3NDUxNyIsIjE4NTM3ODE2Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
1,The Reservoire,18537585,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block?zrp_bid=225037&zrp_pid=14&zrp_cid=319733&context=eyJjIjp7ImUiOlsiMTg3Njc4OTciLDE4NTM3NTg1LCIxODYyMjI2OCIsIjE4MjAyOTkxIiwiNTU5MDgiLCI1MjQ1OSIsNTAzMDYsIjE4MTYwMDkzIiwiMTgzOTEwMjAiLCIxODM3NDUxNyIsIjE4NTM3ODE2IiwiNTgyNjgiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
2,Market Table,18622268,https://www.zomato.com/bangalore/market-table-koramangala-5th-block?zrp_bid=232388&zrp_pid=14&zrp_cid=324237&context=eyJjIjp7ImUiOlsiMTg3Njc4OTciLCIxODUzNzU4NSIsMTg2MjIyNjgsIjE4MjAyOTkxIiwiNTU5MDgiLCI1MjQ1OSIsNTAzMDYsIjE4MTYwMDkzIiwiMTgzOTEwMjAiLCIxODM3NDUxNyIsIjE4NTM3ODE2IiwiNTgyNjgiLDUwMDY2XSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
3,"3B's - Buddies, Bar &...",18202991,https://www.zomato.com/bangalore/3bs-buddies-bar-barbecues-marathahalli?zrp_bid=211354&zrp_pid=14&zrp_cid=311251&context=eyJjIjp7ImUiOlsiMTg3Njc4OTciLCIxODUzNzU4NSIsIjE4NjIyMjY4IiwxODIwMjk5MSwiNTU5MDgiLCI1MjQ1OSIsNTAzMDYsIjE4MTYwMDkzIiwiMTgzOTEwMjAiLCIxODM3NDUxNyIsIjE4NTM3ODE2IiwiNTgyNjgiLDUwMDY2LCIxODY2OTI3MSJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
4,Alba - JW Marriott Bengaluru,55908,https://www.zomato.com/bangalore/alba-jw-marriott-bengaluru-lavelle-road?zrp_bid=224589&zrp_pid=14&zrp_cid=319438&context=eyJjIjp7ImUiOlsiMTg3Njc4OTciLCIxODUzNzU4NSIsIjE4NjIyMjY4IiwiMTgyMDI5OTEiLDU1OTA4LCI1MjQ1OSIsNTAzMDYsIjE4MTYwMDkzIiwiMTgzOTEwMjAiLCIxODM3NDUxNyIsIjE4NTM3ODE2IiwiNTgyNjgiLDUwMDY2LCIxODY2OTI3MSIsIjE4NTk0OTM3Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
5,CTR,52459,https://www.zomato.com/bangalore/ctr-malleshwaram-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1Mzc1ODUiLCIxODYyMjI2OCIsIjE4MjAyOTkxIiwiNTU5MDgiLDUyNDU5LDUwMzA2LCIxODE2MDA5MyIsIjE4MzkxMDIwIiwiMTgzNzQ1MTciLCIxODUzNzgxNiIsIjU4MjY4Iiw1MDA2NiwiMTg2NjkyNzEiLCIxODU5NDkzNyIsIjE4NzEyMzk0Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
6,Corner House Ice Cream,50306,https://www.zomato.com/bangalore/restaurants/corner-house-ice-cream?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14
7,Once Upon A Flame,18160093,https://www.zomato.com/bangalore/once-upon-a-flame-hsr?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgyMDI5OTEiLCI1NTkwOCIsIjUyNDU5Iiw1MDMwNiwxODE2MDA5MywiMTgzOTEwMjAiLCIxODM3NDUxNyIsIjE4NTM3ODE2IiwiNTgyNjgiLDUwMDY2LCIxODY2OTI3MSIsIjE4NTk0OTM3IiwiMTg3MTIzOTQiLCIxODUyNjI3OSIsIjU0MzA5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
8,Bloomsbury's Global Kitchen...,18391020,https://www.zomato.com/bangalore/bloomsburys-global-kitchen-bakehouse-whitefield-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTU5MDgiLCI1MjQ1OSIsNTAzMDYsIjE4MTYwMDkzIiwxODM5MTAyMCwiMTgzNzQ1MTciLCIxODUzNzgxNiIsIjU4MjY4Iiw1MDA2NiwiMTg2NjkyNzEiLCIxODU5NDkzNyIsIjE4NzEyMzk0IiwiMTg1MjYyNzkiLCI1NDMwOSIsIjE4MjI0NjUwIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
9,Smoor,18374517,https://www.zomato.com/bangalore/smoor-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTI0NTkiLDUwMzA2LCIxODE2MDA5MyIsIjE4MzkxMDIwIiwxODM3NDUxNywiMTg1Mzc4MTYiLCI1ODI2OCIsNTAwNjYsIjE4NjY5MjcxIiwiMTg1OTQ5MzciLCIxODcxMjM5NCIsIjE4NTI2Mjc5IiwiNTQzMDkiLCIxODIyNDY1MCIsIjE4NjAzODIyIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
